prompt
"a vase of sunflowers sitting on a wooden table, in the style of Van Gogh"
"a starry night sky above a small village, in the style of Van Gogh"
"a golden wheat field with crows flying overhead, in the style of Van Gogh"
"a cafe terrace at night illuminated by yellow lanterns, in the style of Van Gogh"
"a tall cypress tree towards the sky, in the style of Van Gogh"
"a Japanese bridge over a pond full of water lilies, in the style of Monet"
"a woman with a parasol walking in a field of poppies, in the style of Monet"
"a haystack in a field bathed in sunset light, in the style of Monet"
"a view of London parliament through thick fog, in the style of Monet"
"a garden path surrounded by blooming purple irises, in the style of Monet"
"a cubist portrait of a weeping woman with fractured features, in the style of Picasso"
"a musician playing a guitar made of geometric shapes, in the style of Picasso"
"a bowl of fruit on a table with distorted perspectives, in the style of Picasso"
"a bull standing in an abstract arena, in the style of Picasso"
"three musicians wearing masks and colorful costumes, in the style of Picasso"
